"ID";"LAST_UPDATE";"SORT_VALUE";"DESCRIPTION";"UNIQUE_NAME";"RUNTIME_ID";"OWNING_TYPE_ID";"ELEMENT_TYPE_ID";"DEFAULT_VALUE_LITERAL";"OPTIONAL";"VERSION"
"7643e5f1-7c2d-11e2-9942-d8d3851b0d67";"2014-12-16";1;"techAddr_cmn4";"techAddr_cmn40";"4f0c1362-5db6-11e4-a967-78acc0c3521f";"76358e10-7c2d-11e2-9942-d8d3851b0d67";"6ee8f6ba-7c2d-11e2-9942-d8d3851b0d67";null;false;0
"7643e5f2-7c2d-11e2-9942-d8d3851b0d67";"2014-12-16";2;"techAddr_cmn5";"techAddr_cmn50";"4f0c1363-5db6-11e4-a967-78acc0c3521f";"76358e10-7c2d-11e2-9942-d8d3851b0d67";"6ee8f6ba-7c2d-11e2-9942-d8d3851b0d67";null;false;0
"7643e5f3-7c2d-11e2-9942-d8d3851b0d67";"2014-12-16";3;"techAddr_cmn6";"techAddr_cmn60";"4f0c1364-5db6-11e4-a967-78acc0c3521f";"76358e10-7c2d-11e2-9942-d8d3851b0d67";"6ee8f6ba-7c2d-11e2-9942-d8d3851b0d67";null;false;0
"7643e5f4-7c2d-11e2-9942-d8d3851b0d67";"2014-12-16";4;"techAddr_cmn7";"techAddr_cmn70";"4f0c1365-5db6-11e4-a967-78acc0c3521f";"76358e10-7c2d-11e2-9942-d8d3851b0d67";"6ee8f6ba-7c2d-11e2-9942-d8d3851b0d67";null;false;0
"7643e5f5-7c2d-11e2-9942-d8d3851b0d67";"2014-12-16";5;"fwdTarget";"fwdTarget0";"4f0c1366-5db6-11e4-a967-78acc0c3521f";"76358e10-7c2d-11e2-9942-d8d3851b0d67";"6ee8f6ba-7c2d-11e2-9942-d8d3851b0d67";null;false;0
"7643e5f7-7c2d-11e2-9942-d8d3851b0d67";"2014-12-16";6;"valFor01";"valFor010";"4f0c1367-5db6-11e4-a967-78acc0c3521f";"76358e10-7c2d-11e2-9942-d8d3851b0d67";"6ee8f6be-7c2d-11e2-9942-d8d3851b0d67";null;false;0
"7643e5f8-7c2d-11e2-9942-d8d3851b0d67";"2014-12-16";7;"valFor00";"valFor000";"4f0c1368-5db6-11e4-a967-78acc0c3521f";"76358e10-7c2d-11e2-9942-d8d3851b0d67";"6ee8f6be-7c2d-11e2-9942-d8d3851b0d67";null;false;0
"7643e5f9-7c2d-11e2-9942-d8d3851b0d67";"2014-12-16";8;"idsAddr";"idsAddr0";"4f0c1369-5db6-11e4-a967-78acc0c3521f";"76358e10-7c2d-11e2-9942-d8d3851b0d67";"6ee8f6ba-7c2d-11e2-9942-d8d3851b0d67";null;false;0
"7643e5fa-7c2d-11e2-9942-d8d3851b0d67";"2014-12-16";9;"rtu";"rtu0";"4f0c136a-5db6-11e4-a967-78acc0c3521f";"76358e10-7c2d-11e2-9942-d8d3851b0d67";"6ee8f6ba-7c2d-11e2-9942-d8d3851b0d67";null;false;0
"7643e5fb-7c2d-11e2-9942-d8d3851b0d67";"2014-12-16";10;"deadband";"deadband0";"4f0c136b-5db6-11e4-a967-78acc0c3521f";"76358e10-7c2d-11e2-9942-d8d3851b0d67";"6ee8f6bc-7c2d-11e2-9942-d8d3851b0d67";null;false;0
"7643e5fc-7c2d-11e2-9942-d8d3851b0d67";"2014-12-16";11;"techAddr_obj7";"techAddr_obj70";"4f0c136c-5db6-11e4-a967-78acc0c3521f";"76358e10-7c2d-11e2-9942-d8d3851b0d67";"6ee8f6ba-7c2d-11e2-9942-d8d3851b0d67";null;false;0
"7643e5fd-7c2d-11e2-9942-d8d3851b0d67";"2014-12-16";12;"techAddr_obj8";"techAddr_obj80";"4f0c136d-5db6-11e4-a967-78acc0c3521f";"76358e10-7c2d-11e2-9942-d8d3851b0d67";"6ee8f6ba-7c2d-11e2-9942-d8d3851b0d67";null;false;0
"7643e600-7c2d-11e2-9942-d8d3851b0d67";"2014-12-16";14;"oid";"oid0";"4f0c136f-5db6-11e4-a967-78acc0c3521f";"76358e10-7c2d-11e2-9942-d8d3851b0d67";"6ee8f6be-7c2d-11e2-9942-d8d3851b0d67";null;false;0
